time_stamp,date_12_17_09_19,date_12_17_09_11,date_12_17_09_28
4,99.16000366210938,99.33000183105469,94.33000183105469
8,99.33000183105469,99.49500274658203,95.49500274658203
12,99.5,99.66000366210938,91.66000366210938
16,99.5,99.49500274658203,99.49500274658203
20,99.5,99.33000183105469,97.33000183105469
24,99.08000183105469,99.33000183105469,92.33000183105469
28,98.66000366210938,99.33000183105469,93.33000183105469
32,98.91000366210938,99.33000183105469,94.33000183105469
36,99.16000366210938,99.33000183105469,96.33000183105469
40,99.07500076293945,99.33000183105469,97.33000183105469
44,98.98999786376953,99.33000183105469,99.33000183105469
